report_id,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8JUk,149184572186781476,59.23,23.98,141.68,0.00,0.00,0.00
8JUk,150190987832295679,0.83,23.88,117.85,0.00,0.00,0.00
8JUk,150719494401923102,0.00,9.04,82.15,8.27,14.86,59.09
8JUk,151503822592870597,57.02,23.92,142.18,0.00,0.00,0.00
8JUk,152768986927483535,6.35,23.91,122.07,0.00,0.00,0.00
8JUk,152977603852070841,114.27,17.82,60.76,0.00,6.07,101.93
8JUk,155188683674693066,4.60,23.92,141.92,0.00,0.00,0.00
8JUk,155313638600073426,0.45,23.84,118.12,0.00,0.00,23.56
8JUk,157673618457918136,8.55,23.94,142.24,0.00,0.00,0.00
8JUk,158406589678859173,0.00,0.00,0.00,4.90,23.79,142.96
8JUk,158671928024418647,2.40,23.80,141.55,0.00,0.00,0.00
8JUk,161303667492656727,0.00,0.00,0.00,59.43,23.98,141.68
8JUk,163605270147516691,0.00,0.00,33.67,11.57,23.97,108.65
8JUk,163683871869387623,12.20,23.96,134.65,0.00,0.00,0.00
8JUk,165802462521250297,10.15,23.95,108.30,0.00,0.00,5.12
8JUk,168365839720755693,25.37,18.48,95.44,0.00,0.00,0.00
8JUk,168576246522596286,59.70,23.94,142.36,0.00,0.00,0.00
8JUk,168921235812740107,57.45,23.85,133.50,0.00,0.00,9.01
8JUk,171819201025808799,20.40,13.90,83.95,0.00,1.92,1.92
8JUk,172112775132029564,10.03,23.93,91.98,0.00,0.00,0.00
8JUk,173113714660183551,6.72,23.91,122.13,0.00,0.00,0.00
8JUk,174082200375603286,58.60,23.97,138.36,0.00,0.00,4.05
8JUk,176727949560886529,5.68,0.00,94.16,0.00,0.00,0.00
8JUk,177568850000954941,24.83,19.48,116.53,0.00,0.00,0.00
8JUk,164413650212299631,12.42,22.99,128.79,0.00,0.00,0.00
8JUk,180898067617405719,5.17,23.90,142.31,0.00,0.00,0.00
8JUk,185099711074799014,0.18,23.82,141.42,0.00,0.00,0.00
8JUk,178862861222744612,58.35,23.97,142.42,0.00,0.00,0.00
8JUk,185941962687503759,119.87,1.84,48.52,0.00,0.00,0.00
8JUk,186027590898392813,6.77,19.79,125.17,0.00,4.09,15.12
8JUk,172108283591540042,0.00,0.00,0.00,10.60,23.96,129.54
8JUk,188983528751923443,11.07,23.95,141.42,0.00,0.00,0.00
8JUk,108258734115101969,12.55,23.98,141.34,0.00,0.00,0.00
8JUk,186782073132835914,0.93,24.90,147.01,0.00,0.00,0.00
8JUk,189887911053525869,0.00,0.00,0.00,10.87,27.34,160.76
8JUk,190587005039343334,8.27,23.91,142.10,0.00,0.00,0.00
8JUk,178239698550477108,57.82,22.98,126.62,0.00,0.00,1.98
8JUk,193199038459042425,0.00,0.00,0.00,57.92,23.96,142.39
8JUk,191535644409838384,11.23,23.99,141.80,0.00,0.00,0.00
8JUk,107685653027490811,12.55,23.99,142.29,0.00,0.00,0.00
8JUk,1228746224876162654,12.53,23.08,157.78,0.00,0.00,0.00
8JUk,1230130472277886354,12.02,23.08,156.55,0.00,0.00,0.00
8JUk,108968345947796639,0.00,0.00,0.00,8.50,23.96,142.44
8JUk,5301267958462723469,11.73,23.10,138.97,0.00,0.00,0.00
8JUk,5301485687233194250,12.32,22.08,141.20,0.00,1.00,1.00
8JUk,112999047392063113,7.53,23.92,142.12,0.00,0.00,0.00
8JUk,110851142722660937,6.18,23.80,141.53,0.00,0.00,0.00
8JUk,111941507920209544,9.32,23.93,143.54,0.00,0.00,0.00
8JUk,117337394419525839,0.00,0.00,0.00,7.67,23.88,142.89
8JUk,114242703022172426,6.83,23.86,141.14,0.00,0.00,0.00
8JUk,114551850046024710,10.77,23.94,93.75,0.00,0.00,24.12
8JUk,117659288711469627,5.18,23.82,118.01,0.00,0.00,0.00
8JUk,115153419187560180,12.13,23.98,142.26,0.00,0.00,0.00
8JUk,115475171852550934,59.03,23.99,141.62,0.00,0.00,0.00
8JUk,209183373802266038,0.00,0.00,0.00,10.93,23.87,141.10
8JUk,210468821879069602,17.73,15.09,73.63,0.00,0.00,0.00
8JUk,212183430335524329,0.00,0.00,0.00,1.63,23.80,140.83
8JUk,213124882750299254,0.00,0.00,0.00,58.78,23.97,142.40
8JUk,216716787515611232,8.12,23.85,117.84,0.00,0.00,0.00
8JUk,218417547706234182,11.90,23.98,142.42,0.00,0.00,0.00
8JUk,218837831150362498,4.83,26.11,154.80,0.00,0.00,0.00
8JUk,219695402222975151,9.33,23.86,143.35,0.00,0.00,0.00
8JUk,220388773230587556,12.95,23.98,140.40,0.00,0.00,2.00
8JUk,221640060735411187,12.18,23.98,103.41,0.00,0.00,38.19
8JUk,222250116281386738,10.50,22.95,137.09,0.00,0.99,5.17
8JUk,223111248623147507,0.00,0.00,0.00,5.55,23.85,141.77
8JUk,223865218816979210,9.90,23.90,141.94,0.00,0.00,0.00
8JUk,225247510228180716,6.68,23.93,141.02,0.00,0.00,0.00
8JUk,226072070942895639,0.00,0.00,0.00,59.55,23.86,142.51
8JUk,226384701555673146,9.08,23.89,143.70,0.00,0.00,0.00
8JUk,226728173686183326,6.05,23.83,141.55,0.00,0.00,0.00
8JUk,229392696493371616,12.37,23.98,143.60,0.00,0.00,0.00
8JUk,229647184903513856,11.10,23.95,143.68,0.00,0.00,0.00
8JUk,229756281923043870,58.78,23.95,142.30,0.00,0.00,0.00
8JUk,230165194803740161,5.40,23.80,141.95,0.00,0.00,0.00
8JUk,231472248821231732,59.65,23.93,142.00,0.00,0.00,0.00
8JUk,231622156909387251,13.33,26.38,128.30,0.00,0.00,0.00
8JUk,231626137940016414,0.00,0.00,0.00,25.43,25.14,148.44
8JUk,231926578378663872,0.00,7.97,111.73,12.53,16.02,32.04
8JUk,232484462789236206,57.62,23.97,141.69,0.00,0.00,0.00
8JUk,234403512707663205,59.75,23.96,140.60,0.00,0.00,0.00
8JUk,234569288492497785,0.00,0.00,0.00,58.43,23.85,142.62
8JUk,235721186065263803,0.00,0.00,0.00,3.20,23.83,141.16
8JUk,236338356365502628,9.43,23.84,119.52,0.00,0.00,0.00
